         51063467 function calls (49002903 primitive calls) in 436.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    7.850    7.850  436.599  436.599 C:\Projects\form-sage\fast_processor_gemini.py:527(main)
        1    0.002    0.002  265.387  265.387 C:\Projects\form-sage\fast_processor_gemini.py:61(__init__)
        1    0.159    0.159  264.594  264.594 C:\Projects\form-sage\fast_processor_gemini.py:81(convert_pages_to_img)
       67    0.071    0.001  157.594    2.352 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\paddleocr.py:690(ocr)
       67    0.020    0.000  157.511    2.351 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_system.py:76(__call__)
       67    0.003    0.000  144.422    2.156 C:\Projects\form-sage\fast_processor_gemini.py:225(__init__)
       67  139.429    2.081  141.708    2.115 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_rec.py:542(__call__)
       67    0.001    0.000   59.860    0.893 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:3126(to)
       67    0.000    0.000   59.859    0.893 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:1047(to)
 29547/67   12.277    0.000   59.859    0.893 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:799(_apply)
       67    0.002    0.000   54.696    0.816 C:\Projects\form-sage\fast_processor_gemini.py:198(preprocess_image)
       67   51.821    0.773   51.821    0.773 {fastNlMeansDenoising}
    28878   47.639    0.002   47.639    0.002 {method 'to' of 'torch._C.TensorBase' objects}
    26197    0.013    0.000   47.395    0.002 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:1146(convert)
      136    0.001    0.000   45.197    0.332 C:\Projects\form-sage\.venv310\lib\site-packages\tqdm\std.py:1160(__iter__)
       68    0.119    0.002   45.157    0.664 C:\Projects\form-sage\fast_processor_gemini.py:67(pdf_to_image_generator)
        1    0.000    0.000   45.037   45.037 C:\Projects\form-sage\.venv310\lib\site-packages\pdf2image\pdf2image.py:37(convert_from_path)
        3    0.000    0.000   44.844   14.948 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\subprocess.py:1110(communicate)
      632   44.843    0.071   44.843    0.071 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000   44.842   14.947 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\subprocess.py:1519(_communicate)
        6    0.000    0.000   44.840    7.473 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\threading.py:1064(join)
        6    0.000    0.000   44.840    7.473 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\threading.py:1102(_wait_for_tstate_lock)
       67    0.002    0.000   38.127    0.569 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\auto\tokenization_auto.py:731(from_pretrained)
      149    0.002    0.000   31.486    0.211 C:\Projects\form-sage\.venv310\lib\site-packages\requests\sessions.py:500(request)
      149    0.003    0.000   31.397    0.211 C:\Projects\form-sage\.venv310\lib\site-packages\requests\sessions.py:673(send)
      149    0.002    0.000   31.377    0.211 C:\Projects\form-sage\.venv310\lib\site-packages\requests\adapters.py:613(send)
      149    0.002    0.000   31.336    0.210 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\connectionpool.py:592(urlopen)
      149    0.002    0.000   31.315    0.210 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\connectionpool.py:377(_make_request)
       67    0.003    0.000   31.048    0.463 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\tokenization_utils_base.py:1794(from_pretrained)
       67    0.003    0.000   30.940    0.462 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\tokenization_utils_base.py:2046(_from_pretrained)
       67    0.001    0.000   30.929    0.462 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\xlm_roberta\tokenization_xlm_roberta_fast.py:92(__init__)
       67    0.004    0.000   30.928    0.462 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\tokenization_utils_fast.py:98(__init__)
       67   30.894    0.461   30.894    0.461 {built-in method from_file}
      149    0.003    0.000   30.187    0.203 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\connection.py:485(getresponse)
      149    0.001    0.000   30.164    0.202 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\http\client.py:1331(getresponse)
      149    0.002    0.000   30.160    0.202 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\http\client.py:311(begin)
      149    0.002    0.000   30.117    0.202 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\http\client.py:278(_read_status)
     3279    0.002    0.000   30.116    0.009 {method 'readline' of '_io.BufferedReader' objects}
      154    0.001    0.000   30.114    0.196 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\socket.py:691(readinto)
      154    0.001    0.000   30.113    0.196 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\ssl.py:1263(recv_into)
      154    0.001    0.000   30.112    0.196 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\ssl.py:1121(read)
      154   30.112    0.196   30.112    0.196 {method 'read' of '_ssl._SSLSocket' objects}
       67    0.010    0.000   29.999    0.448 C:\Projects\form-sage\fast_processor_gemini.py:381(classify_document_with_confidence)
134918/383    0.082    0.000   28.637    0.075 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:1507(_wrapped_call_impl)
134918/383    0.194    0.000   28.637    0.075 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:1513(_call_impl)
        5    0.000    0.000   19.892    3.978 C:\Projects\form-sage\fast_processor_gemini.py:309(classify_using_image)
        5    0.000    0.000   19.484    3.897 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:1318(forward)
       10    0.002    0.000   19.446    1.945 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:817(forward)
      180    0.041    0.000   19.441    0.108 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:588(forward)
    74422    0.075    0.000   19.344    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\linear.py:115(forward)
