,page_number,chunk_index,field,value,confidence,y_position,x_position
0,1,0,Ġ4,,0.5240025520324707,162.0,109.0
1,1,0,120,,0.591143786907196,162.0,109.0
2,1,0,-,,0.5148418545722961,162.0,109.0
3,1,0,S,,0.5654234886169434,162.0,109.0
4,1,0,ĠU,,0.5215479731559753,162.0,274.0
5,1,0,.,,0.5449270606040955,162.0,274.0
6,1,0,S,,0.5030638575553894,162.0,274.0
7,1,0,.,,0.535552978515625,162.0,274.0
8,1,0,ĠIncome,,0.5500204563140869,162.0,323.0
9,1,0,ĠTax,,0.5290384888648987,162.0,403.0
10,1,0,ĠReturn,,0.5177109837532043,162.0,448.0
11,1,0,Ġfor,,0.5209211111068726,162.0,522.0
12,1,0,ĠS,,0.6056050062179565,162.0,587.0
13,1,0,ĠCorporation,,0.5676397681236267,162.0,609.0
14,1,0,Ġcom,,0.5501910448074341,163.0,61.0
15,1,0,ĠO,,0.544370174407959,168.0,816.0
16,1,0,MB,,0.5259243845939636,168.0,816.0
17,1,0,ĠNo,,0.5611245036125183,168.0,846.0
18,1,0,.,,0.5560235381126404,168.0,846.0
19,1,0,Ġ15,,0.5391340255737305,168.0,867.0
20,1,0,45,,0.5794900059700012,168.0,867.0
21,1,0,-,,0.5337962508201599,168.0,867.0
22,1,0,01,,0.5166329741477966,168.0,867.0
23,1,0,23,,0.5876125693321228,168.0,867.0
24,1,0,Ġan,,0.5886383652687073,172.0,556.0
25,1,0,ĠDo,,0.5491307973861694,234.0,331.0
26,1,0,Ġfile,,0.5720844864845276,234.0,375.0
27,1,0,Ġthis,,0.5517905950546265,234.0,398.0
28,1,0,Ġform,,0.5864061713218689,234.0,424.0
29,1,0,Ġunless,,0.6987869739532471,234.0,457.0
30,1,0,Ġthe,,0.6899832487106323,234.0,500.0
31,1,0,Ġcorporation,,0.7668755650520325,234.0,524.0
32,1,0,Ġhas,,0.6857520341873169,234.0,601.0
33,1,0,Ġfiled,,0.5299474596977234,234.0,626.0
34,1,0,Ġnot,,0.6138189435005188,236.0,352.0
35,1,0,Ġor,,0.5182240009307861,240.0,656.0
36,1,0,ĠD,,0.5522152781486511,249.0,827.0
37,1,0,Ġ0,,0.5081726908683777,249.0,848.0
38,1,0,23,,0.5721468925476074,249.0,848.0
39,1,0,Ġis,,0.5906749367713928,273.0,332.0
40,1,0,Ġattaching,,0.5384328961372375,273.0,345.0
41,1,0,ĠForm,,0.5947071313858032,273.0,408.0
42,1,0,Ġ25,,0.5047106146812439,273.0,443.0
43,1,0,53,,0.5158293843269348,273.0,443.0
44,1,0,Ġelect,,0.6662958860397339,273.0,492.0
45,1,0,Ġbe,,0.7431973814964294,273.0,543.0
46,1,0,ĠS,,0.578004777431488,273.0,580.0
47,1,0,Ġcorporation,,0.7805534601211548,273.0,592.0
48,1,0,.,,0.6725682616233826,273.0,592.0
49,1,0,Ġto,,0.7491669654846191,275.0,476.0
50,1,0,Ġto,,0.7665627002716064,275.0,525.0
51,1,0,Ġan,,0.7696136832237244,279.0,561.0
52,1,0,ĠDepartment,,0.5284243226051331,284.0,61.0
53,1,0,Ġof,,0.5665211081504822,284.0,122.0
